ean/modelo,cod_interno,producto,marca,precio_online,precio_cuotas,garantia,url,timestamp
CB74,20003648,Notebook Hp 14 Stream 8gb + 128 ( Emmc + Msd ) / N4000 Negro,HP,$62.599,ND,ND,https://www.fravega.com/p/notebook-hp-14-stream-8gb-128-(-emmc-msd-)-n4000-negro-20003648/,2022-03-22 20:33:53
,50022323,"MacBook Air 13"" M1 Chip 8-core CPU 8-core GPU 512GB Silver",APPLE,$302.199,ND,ND,https://www.fravega.com/p/macbook-air-13-m1-chip-8-core-cpu-8-core-gpu-512gb-silver-50022323/,2022-03-22 20:33:53
ND,50022317,"MacBook Pro 13"" M1 Chip 8-core CPU 8-core GPU 512GB SSD Silver",APPLE,$363.099,ND,ND,https://www.fravega.com/p/macbook-pro-13-m1-chip-8-core-cpu-8-core-gpu-512gb-ssd-silver-50022317/,2022-03-22 20:33:53
ND,50022321,"MacBook Pro 13"" M1 Chip 8-core CPU 8-core GPU 512GB SSD Space Grey",APPLE,$363.099,ND,ND,https://www.fravega.com/p/macbook-pro-13-m1-chip-8-core-cpu-8-core-gpu-512gb-ssd-space-grey-50022321/,2022-03-22 20:33:53
ThinkPaf X1 Fold,20003185,"Notebook Lenovo 13,3"" Core i5-L16G7 8GB RAM 512GB SSD ThinkPad X1 Fold",LENOVO,$608.452,ND,ND,https://www.fravega.com/p/notebook-lenovo-13-3-core-i5-l16g7-8gb-ram-512gb-ssd-thinkpad-x1-fold-20003185/,2022-03-22 20:33:53
Novabook V2,50012338,"Notebook X-View 14,1"" Intel Celeron Apollo N3350 4GB 64GB Novabook V2",X-VIEW,$46.599,ND,ND,https://www.fravega.com/p/notebook-x-view-14-1-intel-celeron-apollo-n3350-4gb-64gb-novabook-v2-50012338/,2022-03-22 20:33:54
240G8-43K41LT,364132,"Notebook HP 14"" Core i5 4GB 256GB 240G8-43K41LT",HP,$109.999,ND,ND,https://www.fravega.com/p/notebook-hp-14-core-i5-4gb-256gb-240g8-43k41lt-364132/,2022-03-22 20:33:54
ND,50025826,"Notebook eNova 14"" Tigerlake I5 1135G7 RAM 8GB SSD 480GB M.2 Windows 10",ENOVA,$173.249,ND,ND,https://www.fravega.com/p/notebook-enova-14-tigerlake-i5-1135g7-ram-8gb-ssd-480gb-m-2-windows-10-50025826/,2022-03-22 20:33:54
EF26,20018193,Notebook HP AMD Ryzen 5 32gb + 980 SSD FHD Win 10,HP,$206.499,ND,ND,https://www.fravega.com/p/notebook-hp-amd-ryzen-5-32gb-980-ssd-fhd-win-10-20018193/,2022-03-22 20:33:54
Novabook V2,20005542,"Notebook X - View NOVABOOK V2.1 14""IPS 64GB DARK BLUE",X-VIEW,$46.599,ND,ND,https://www.fravega.com/p/notebook-x-view-novabook-v2-1-14-ips-64gb-dark-blue-20005542/,2022-03-22 20:33:54
