ean/modelo,cod_interno,marca,producto,precio_online,precio_cuotas,garantia,url,timestamp
7798111353759,176971,AIWA,NOTEBOOK AIWA CA-141 + FUNDA CELERON,33599,"3 x $ 11.199,67 Cuotas sin interés",12,https://www.musimundo.com/informatica/notebook/notebook-aiwa-ca-141-funda-celeron/p/00367010,2022-03-26 11:45:36
7798166644055,144794,POSITIVO BGH,NOTEBOOK POSITIVO BGH AT510 INTEL CELERON,47999,"3 x $ 15.999,67 Cuotas sin interés",12,https://www.musimundo.com/informatica/notebook/notebook-positivo-bgh-at510-intel-celeron/p/00468016,2022-03-26 11:45:36
7798366200266,177141,DAEWOO,NOTEBOOK DAEWOO POLUX DW-N14GR3350 INTEL CELERON APOLLO LAKE,47499,"$ 47.499,05",12,https://www.musimundo.com/informatica/notebook/notebook-daewoo-polux-dw-n14gr3350-intel-celeron-apollo-lake/p/00400047,2022-03-26 11:45:36
7798042209750,143094,X-VIEW,NOTEBOOK X-VIEW NOVABOK V2.1 INTEL CELERON,44999,"3 x $ 14.999,67 Cuotas sin interés",6,https://www.musimundo.com/informatica/notebook/notebook-x-view-novabok-v2-1-intel-celeron/p/00386008,2022-03-26 11:45:36
7797678015971,176998,EXO,NOTEBOOK EXO M44 CELERON,43199,"$ 43.199,10",12,https://www.musimundo.com/informatica/notebook/notebook-exo-m44-celeron/p/00375001,2022-03-26 11:45:36
7796885454566,136506,BGH,AIRE ACONDICIONADO SPLIT BGH BS26WCCR FRIO CALOR 2322 FRIGORIAS,66999,"12 x $ 5.583,25 Cuotas sin interés",12,https://www.musimundo.com/climatizacion/aire-acondicionado/aire-acondicionado-split-bgh-bs26wccr-frio-calor-2322-frigorias/p/00193115,2022-03-26 11:45:37
7795473028721,174683,DREAN,LAVARROPAS AUTOMATICO DREAN NEXT 6.06 ECO 6 BLANCO,68999,"12 x $ 5.749,92 Cuotas sin interés",12,https://www.musimundo.com/electrohogar/lavarropas/lavarropas-automatico-drean-next-6-06-eco-6-blanco/p/00199039,2022-03-26 11:45:37
7798166643959,177360,POSITIVO BGH,NOTEBOOK POSITIVO BGH AT300N ATOM X5-Z8350,39999,"6 x $ 6.666,50 Cuotas sin interés",12,https://www.musimundo.com/informatica/notebook/notebook-positivo-bgh-at300n-atom-x5-z8350/p/00321117,2022-03-26 11:45:37
7798366200228,177139,DAEWOO,NOTEBOOK DAEWOO DW-N14GR3001 INTEL CELERON,36099,"$ 36.099,05",12,https://www.musimundo.com/informatica/notebook/notebook-daewoo-dw-n14gr3001-intel-celeron/p/00399030,2022-03-26 11:45:37
7798181991219,176019,E-NOVA,NOTEBOOK E-NOVA CLOUDBOOK CELERON,36099,"$ 36.099,05",12,https://www.musimundo.com/informatica/notebook/notebook-e-nova-cloudbook-celeron/p/00304005,2022-03-26 11:45:37
195348349093,177133,LENOVO,NOTEBOOK LENOVO IDEA PAD 1-14IGL05 INTEL CELERON,49999,"3 x $ 16.666,33 Cuotas sin interés",12,https://www.musimundo.com/informatica/notebook/notebook-lenovo-idea-pad-1-14igl05-intel-celeron/p/00321788,2022-03-26 11:45:37
7798135512040,139898,HDC,NOTEBOOK HDC CY-141N464 INTEL CELERON,36999,"3 x $ 12.333,00 Cuotas sin interés",6,https://www.musimundo.com/informatica/notebook/notebook-hdc-cy-141n464-intel-celeron/p/00311000,2022-03-26 11:45:37
